#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
32,CVE-2020-11655,665,,DoS,2020-04-09,2021-06-14,5,None,Remote,Low,Not required,None,None,Partial,SQLite through 3.31.1 allows attackers to cause a denial of service (segmentation fault) via a malformed window-function query because the AggInfo object's initialization is mishandled.
16,CVE-2020-28019,665,,,2021-05-06,2021-05-10,5,None,Remote,Low,Not required,None,None,Partial,Exim 4 before 4.94.2 has Improper Initialization that can lead to recursion-based stack consumption or other consequences. This occurs because use of certain getc functions is mishandled when a client uses BDAT instead of DATA.
12,CVE-2021-0234,665,,DoS Exec Code,2021-04-22,2021-04-27,5,None,Remote,Low,Not required,None,None,Partial,Due to an improper Initialization vulnerability on Juniper Networks Junos OS QFX5100-96S devices with QFX 5e Series image installed
13,CVE-2021-0226,665,,DoS,2021-04-22,2021-04-27,5,None,Remote,Low,Not required,None,None,Partial,On Juniper Networks Junos OS Evolved devices
11,CVE-2021-0435,665,,Exec Code +Info,2021-04-13,2021-04-16,5,None,Remote,Low,Not required,Partial,None,None,In avrc_proc_vendor_command of avrc_api.cc
137,CVE-2016-9446,665,,#NAME?,2017-01-23,2020-11-20,5,None,Remote,Low,Not required,Partial,None,None,The vmnc decoder in the gstreamer does not initialize the render canvas
55,CVE-2019-15681,665,,Bypass +Info,2019-10-29,2020-10-23,5,None,Remote,Low,Not required,Partial,None,None,LibVNC commit before d01e1bb4246323ba6fcee3b82ef1faa9b1dac82a contains a memory leak (CWE-655) in VNC server code
86,CVE-2018-20023,665,,Bypass +Info,2018-12-19,2020-10-23,5,None,Remote,Low,Not required,Partial,None,None,LibVNC before 8b06f835e259652b0ff026898014fc7297ade858 contains CWE-665: Improper Initialization vulnerability in VNC Repeater client code that allows attacker to read stack memory and can be abuse for information disclosure. Combined with another vulnerability
87,CVE-2018-20022,665,,Bypass +Info,2018-12-19,2020-10-23,5,None,Remote,Low,Not required,Partial,None,None,LibVNC before 2f5b2ad1c6c99b1ac6482c95844a84d66bb52838 contains multiple weaknesses CWE-665: Improper Initialization vulnerability in VNC client code that allows attacker to read stack memory and can be abuse for information disclosure. Combined with another vulnerability
88,CVE-2018-16058,665,,,2018-08-30,2020-08-24,5,None,Remote,Low,Not required,None,None,Partial,In Wireshark 2.6.0 to 2.6.2
99,CVE-2018-7419,665,,,2018-02-23,2020-08-24,5,None,Remote,Low,Not required,None,None,Partial,In Wireshark 2.2.0 to 2.2.12 and 2.4.0 to 2.4.4
40,CVE-2020-4067,665,,#NAME?,2020-06-29,2020-07-09,5,None,Remote,Low,Not required,Partial,None,None,In coturn before version 4.5.1.3
27,CVE-2020-12858,665,,,2020-05-18,2020-05-20,5,None,Remote,Low,Not required,Partial,None,None,Non-reinitialisation of random data in the advertising payload in COVIDSafe v1.0.15 and v1.0.16 allows a remote attacker to re-identify Android devices running COVIDSafe by scanning for their advertising beacons.
36,CVE-2020-9775,665,,,2020-04-01,2020-05-14,5,None,Remote,Low,Not required,Partial,None,None,An issue existed in the handling of tabs displaying picture in picture video. The issue was corrected with improved state handling. This issue is fixed in iOS 13.4 and iPadOS 13.4. A user's private browsing activity may be unexpectedly saved in Screen Time.
135,CVE-2016-1000109,665,,,2020-02-19,2020-03-06,5,None,Remote,Low,Not required,None,Partial,None,HHVM does not attempt to address RFC 3875 section 4.1.18 namespace conflicts and therefore does not protect CGI applications from the presence of untrusted client data in the HTTP_PROXY environment variable
53,CVE-2019-16921,665,,#NAME?,2019-09-27,2019-09-27,5,None,Remote,Low,Not required,Partial,None,None,In the Linux kernel before 4.17
5,CVE-2021-1780,665,,DoS,2021-04-02,2021-04-09,4.9,None,Local,Low,Not required,None,None,Complete,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 14.4 and iPadOS 14.4. An attacker in a privileged position may be able to perform a denial of service attack.
34,CVE-2020-9964,665,,,2020-10-16,2020-11-15,4.9,None,Local,Low,Not required,Complete,None,None,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 14.0 and iPadOS 14.0. A local user may be able to read kernel memory.
128,CVE-2017-6267,665,,DoS,2017-09-22,2019-10-03,4.9,None,Local,Low,Not required,None,None,Complete,NVIDIA GPU Display Driver contains a vulnerability in the kernel mode layer handler where an incorrect initialization of internal objects can cause an infinite loop which may lead to a denial of service.
147,CVE-2010-4343,665,,DoS,2010-12-29,2020-08-14,4.7,None,Local,Medium,Not required,None,None,Complete,drivers/scsi/bfa/bfa_core.c in the Linux kernel before 2.6.35 does not initialize a certain port data structure
28,CVE-2020-12357,665,,,2021-06-09,2021-07-02,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Improper initialization in the firmware for some Intel(R) Processors may allow a privileged user to potentially enable escalation of privilege via local access.
1,CVE-2021-29614,665,,,2021-05-14,2021-05-20,4.6,None,Local,Low,Not required,Partial,Partial,Partial,TensorFlow is an end-to-end open source platform for machine learning. The implementation of `tf.io.decode_raw` produces incorrect results and crashes the Python interpreter when combining `fixed_length` and wider datatypes. The implementation of the padded version(https://github.com/tensorflow/tensorflow/blob/1d8903e5b167ed0432077a3db6e462daf781d1fe/tensorflow/core/kernels/decode_padded_raw_op.cc) is buggy due to a confusion about pointer arithmetic rules. First
3,CVE-2021-29610,665,,,2021-05-14,2021-05-17,4.6,None,Local,Low,Not required,Partial,Partial,Partial,TensorFlow is an end-to-end open source platform for machine learning. The validation in `tf.raw_ops.QuantizeAndDequantizeV2` allows invalid values for `axis` argument:. The validation(https://github.com/tensorflow/tensorflow/blob/eccb7ec454e6617738554a255d77f08e60ee0808/tensorflow/core/kernels/quantize_and_dequantize_op.cc#L74-L77) uses `||` to mix two different conditions. If `axis_ < -1` the condition in `OP_REQUIRES` will still be true
38,CVE-2020-8744,665,,,2020-11-12,2021-05-11,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Improper initialization in subsystem for Intel(R) CSME versions before12.0.70
29,CVE-2020-12336,665,,,2020-11-12,2020-11-20,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Insecure default variable initialization in firmware for some Intel(R) NUCs may allow an authenticated user to potentially enable escalation of privilege via local access.
49,CVE-2020-0438,665,,Exec Code,2020-11-10,2020-11-12,4.6,None,Local,Low,Not required,Partial,Partial,Partial,In the AIBinder_Class constructor of ibinder.cpp
56,CVE-2019-14565,665,,DoS,2019-11-14,2020-08-24,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Insufficient initialization in Intel(R) SGX SDK Windows versions 2.4.100.51291 and earlier
31,CVE-2020-12301,665,,,2020-08-13,2020-08-19,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Improper initialization in BIOS firmware for Intel(R) Server Board Families S2600ST
43,CVE-2020-0586,665,,DoS,2020-06-15,2020-07-22,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Improper initialization in subsystem for Intel(R) SPS versions before SPS_E3_04.01.04.109.0 and SPS_E3_04.08.04.070.0 may allow an authenticated user to potentially enable escalation of privilege and/or denial of service via local access.
45,CVE-2020-0529,665,,,2020-06-15,2020-06-30,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Improper initialization in BIOS firmware for 8th
44,CVE-2020-0561,665,,,2020-02-13,2020-05-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Improper initialization in the Intel(R) SGX SDK before v2.6.100.1 may allow an authenticated user to potentially enable escalation of privilege via local access.
92,CVE-2018-11943,665,,,2018-11-27,2019-10-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,In all android releases(Android for MSM
116,CVE-2017-14610,665,,Exec Code,2017-09-20,2019-10-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,bareos-dir
117,CVE-2017-14609,665,,Exec Code,2017-09-20,2019-10-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,The server daemons in Kannel 1.5.0 and earlier create a PID file after dropping privileges to a non-root account
119,CVE-2017-14102,665,,Exec Code,2017-09-01,2019-10-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,MIMEDefang 2.80 and earlier creates a PID file after dropping privileges to a non-root account
15,CVE-2020-35508,665,,Bypass,2021-03-26,2021-05-13,4.4,None,Local,Medium,Not required,Partial,Partial,Partial,A flaw possibility of race condition and incorrect initialization of the process id was found in the Linux kernel child/parent process identification handling while filtering signal handlers. A local attacker is able to abuse this flaw to bypass checks to send any signal to a privileged process.
25,CVE-2020-15989,665,,#NAME?,2020-11-03,2021-02-24,4.3,None,Remote,Medium,Not required,Partial,None,None,Uninitialized data in PDFium in Google Chrome prior to 86.0.4240.75 allowed a remote attacker to obtain potentially sensitive information from process memory via a crafted PDF file.
18,CVE-2020-26957,665,,,2020-12-09,2020-12-10,4.3,None,Remote,Medium,Not required,None,Partial,None,OneCRL was non-functional in the new Firefox for Android due to a missing service initialization. This could result in a failure to enforce some certificate revocations. *Note: This issue only affected Firefox for Android. Other operating systems are unaffected.*. This vulnerability affects Firefox < 83.
48,CVE-2020-0450,665,,,2020-11-10,2020-11-10,4.3,None,Remote,Medium,Not required,Partial,None,None,In rw_i93_sm_format of rw_i93.cc
52,CVE-2019-19411,665,,#NAME?,2020-01-21,2020-08-24,4.3,None,Remote,Medium,Not required,Partial,None,None,USG9500 with versions of V500R001C30SPC100
74,CVE-2019-6208,665,,,2019-03-05,2020-08-24,4.3,None,Remote,Medium,Not required,None,Partial,None,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 12.1.3
80,CVE-2019-1299,665,,,2019-09-11,2020-08-24,4.3,None,Remote,Medium,Not required,Partial,None,None,An information disclosure vulnerability exists when Microsoft Edge based on Edge HTML improperly handles objects in memory
107,CVE-2018-0853,665,,,2018-02-15,2020-08-24,4.3,None,Remote,Medium,Not required,Partial,None,None,Microsoft Office 2010 SP2
144,CVE-2011-4087,665,,DoS,2013-06-08,2020-07-27,4.3,None,Remote,Medium,Not required,None,None,Partial,The br_parse_ip_options function in net/bridge/br_netfilter.c in the Linux kernel before 2.6.39 does not properly initialize a certain data structure
62,CVE-2019-11747,665,,,2019-09-27,2019-10-05,4.3,None,Remote,Medium,Not required,None,Partial,None,"The ""Forget about this site"" feature in the History pane is intended to remove all saved user data that indicates a user has visited a site. This includes removing any HTTP Strict Transport Security (HSTS) settings received from sites that use it. Due to a bug"
101,CVE-2018-4351,665,,,2019-04-03,2019-10-03,4.3,None,Remote,Medium,Not required,Partial,None,None,A memory initialization issue was addressed with improved memory handling. This issue affected versions prior to macOS Mojave 10.14.
132,CVE-2017-0735,665,,DoS,2017-08-09,2019-10-03,4.3,None,Remote,Medium,Not required,None,None,Partial,A denial of service vulnerability in the Android media framework (libavc). Product: Android. Versions: 6.0
33,CVE-2020-10725,665,,,2020-05-20,2021-01-20,4,None,Remote,Low,???,None,None,Partial,A flaw was found in DPDK version 19.11 and above that allows a malicious guest to cause a segmentation fault of the vhost-user backend application running on the host
126,CVE-2017-10972,665,,,2017-07-06,2019-10-03,4,None,Remote,Low,???,Partial,None,None,Uninitialized data in endianness conversion in the XEvent handling of the X.Org X Server before 2017-06-19 allowed authenticated malicious users to access potentially privileged data from the X server.
2,CVE-2021-29613,665,,,2021-05-14,2021-05-18,3.6,None,Local,Low,Not required,Partial,None,Partial,TensorFlow is an end-to-end open source platform for machine learning. Incomplete validation in `tf.raw_ops.CTCLoss` allows an attacker to trigger an OOB read from heap. The fix will be included in TensorFlow 2.5.0. We will also cherrypick these commits on TensorFlow 2.4.2
19,CVE-2020-26933,665,,,2020-11-18,2020-12-07,3.6,None,Local,Low,Not required,Partial,Partial,None,Trusted Computing Group (TCG) Trusted Platform Module Library Family 2.0 Library Specification Revisions 1.38 through 1.59 has Incorrect Access Control during a non-orderly TPM shut-down that uses USE_DA_USED. Improper initialization of this shut-down may result in susceptibility to a dictionary attack.
37,CVE-2020-8918,665,,,2020-08-11,2020-08-18,3.6,None,Local,Low,Not required,Partial,Partial,None,An improperly initialized 'migrationAuth' value in Google's go-tpm TPM1.2 library versions prior to 0.3.0 can lead an eavesdropping attacker to discover the auth value for a key created with CreateWrapKey. An attacker listening in on the channel can collect both 'encUsageAuth' and 'encMigrationAuth'
78,CVE-2019-1761,665,,,2019-03-28,2020-05-11,3.3,None,Local Network,Low,Not required,Partial,None,None,A vulnerability in the Hot Standby Router Protocol (HSRP) subsystem of Cisco IOS and IOS XE Software could allow an unauthenticated
23,CVE-2020-24475,665,,DoS,2021-06-09,2021-07-01,2.1,None,Local,Low,Not required,None,None,Partial,Improper initialization in the BMC firmware for some Intel(R) Server Boards
22,CVE-2020-24507,665,,,2021-06-09,2021-06-28,2.1,None,Local,Low,Not required,Partial,None,None,Improper initialization in a subsystem in the Intel(R) CSME versions before 11.8.86
14,CVE-2021-0095,665,,DoS,2021-06-09,2021-06-25,2.1,None,Local,Low,Not required,None,None,Partial,Improper initialization in the firmware for some Intel(R) Processors may allow a privileged user to potentially enable a denial of service via local access.
4,CVE-2021-28688,665,,,2021-04-06,2021-06-23,2.1,None,Local,Low,Not required,None,None,Partial,The fix for XSA-365 includes initialization of pointers such that subsequent cleanup code wouldn't use uninitialized or stale values. This initialization went too far and may under certain conditions also overwrite pointers which are in need of cleaning up. The lack of cleanup would result in leaking persistent grants. The leak in turn would prevent fully cleaning up after a respective guest has died
47,CVE-2020-0506,665,,DoS,2020-03-12,2021-05-19,2.1,None,Local,Low,Not required,None,None,Partial,Improper initialization in Intel(R) Graphics Drivers before versions 15.40.44.5107
6,CVE-2021-0453,665,,,2021-03-10,2021-03-12,2.1,None,Local,Low,Not required,Partial,None,None,In the Titan-M chip firmware
7,CVE-2021-0452,665,,,2021-03-10,2021-03-12,2.1,None,Local,Low,Not required,Partial,None,None,In the Titan M chip firmware
8,CVE-2021-0451,665,,,2021-03-10,2021-03-12,2.1,None,Local,Low,Not required,Partial,None,None,In the Titan M chip firmware
9,CVE-2021-0450,665,,,2021-03-10,2021-03-12,2.1,None,Local,Low,Not required,Partial,None,None,In the Titan M chip firmware
10,CVE-2021-0449,665,,,2021-03-10,2021-03-12,2.1,None,Local,Low,Not required,Partial,None,None,In the Titan M chip firmware
46,CVE-2020-0522,665,,DoS,2021-02-17,2021-02-22,2.1,None,Local,Low,Not required,None,None,Partial,Improper initialization in the firmware for the Intel(R) Ethernet I210 Controller series of network adapters before version 3.30 may allow a privileged user to potentially enable denial of service via local access.
26,CVE-2020-14347,665,,Bypass,2020-08-05,2020-12-07,2.1,None,Local,Low,Not required,Partial,None,None,A flaw was found in the way xserver memory was not properly initialized. This could leak parts of server memory to the X client. In cases where Xorg server runs with elevated privileges
30,CVE-2020-12326,665,,,2020-11-12,2020-11-24,2.1,None,Local,Low,Not required,Partial,None,None,Improper initialization in some Intel(R) Thunderbolt(TM) DCH drivers for Windows* before version 72 may allow an authenticated user to potentially enable information disclosure via local access.
24,CVE-2020-16901,665,,,2020-10-16,2020-10-20,2.1,None,Local,Low,Not required,Partial,None,None,An information disclosure vulnerability exists when the Windows kernel improperly initializes objects in memory.To exploit this vulnerability
138,CVE-2016-6836,665,,#NAME?,2016-12-10,2020-10-15,2.1,None,Local,Low,Not required,Partial,None,None,The vmxnet3_complete_packet function in hw/net/vmxnet3.c in QEMU (aka Quick Emulator) allows local guest OS administrators to obtain sensitive host memory information by leveraging failure to initialize the txcq_descr object.
57,CVE-2019-14556,665,,DoS,2020-10-05,2020-10-13,2.1,None,Local,Low,Not required,None,None,Partial,Improper initialization in BIOS firmware for 8th
50,CVE-2020-0272,665,,,2020-09-18,2020-09-18,2.1,None,Local,Low,Not required,Partial,None,None,In libhwbinder
42,CVE-2020-1592,665,,,2020-09-11,2020-09-17,2.1,None,Local,Low,Not required,Partial,None,None,An information disclosure vulnerability exists when the Windows kernel improperly initializes objects in memory.To exploit this vulnerability
67,CVE-2019-8504,665,,,2019-12-18,2020-08-24,2.1,None,Local,Low,Not required,Partial,None,None,A memory initialization issue was addressed with improved memory handling. This issue is fixed in iOS 12.2
79,CVE-2019-1409,665,,,2019-11-12,2020-08-24,2.1,None,Local,Low,Not required,Partial,None,None,An information disclosure vulnerability exists when the Windows Remote Procedure Call (RPC) runtime improperly initializes objects in memory
81,CVE-2019-1274,665,,,2019-09-11,2020-08-24,2.1,None,Local,Low,Not required,Partial,None,None,An information disclosure vulnerability exists when the Windows kernel fails to properly initialize a memory address
82,CVE-2019-1039,665,,,2019-06-12,2020-08-24,2.1,None,Local,Low,Not required,Partial,None,None,An information disclosure vulnerability exists when the Windows kernel improperly initializes objects in memory.To exploit this vulnerability
