#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
15,CVE-2019-5607,682,,#NAME?,2019-07-26,2020-08-24,7.2,None,Local,Low,Not required,Complete,Complete,Complete,In FreeBSD 12.0-STABLE before r350222
24,CVE-2017-13288,682,,Bypass,2018-04-04,2019-10-03,7.2,None,Local,Low,Not required,Complete,Complete,Complete,In writeToParcel and readFromParcel of PeriodicAdvertisingReport.java
27,CVE-2017-12134,682,,DoS +Priv +Info,2017-08-24,2019-10-03,7.2,None,Local,Low,Not required,Complete,Complete,Complete,The xen_biovec_phys_mergeable function in drivers/xen/biomerge.c in Xen might allow local OS guest users to corrupt block device data streams and consequently obtain sensitive memory information
39,CVE-2017-0342,682,,DoS,2017-05-09,2017-05-17,7.2,None,Local,Low,Not required,Complete,Complete,Complete,All versions of the NVIDIA Windows GPU Display Driver contain a vulnerability in the kernel mode layer (nvlddmkm.sys) handler where incorrect calculation may cause an invalid address access leading to denial of service or potential escalation of privileges.
5,CVE-2020-28393,682,,,2021-05-12,2021-05-21,7.1,None,Remote,Medium,Not required,None,None,Complete,An unauthenticated remote attacker could create a permanent denial-of-service condition by sending specially crafted OSPF packets. Successful exploitation requires OSPF to be enabled on an affected device on the SCALANCE XM-400
1,CVE-2021-31440,682,,Exec Code,2021-05-21,2021-06-01,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,This vulnerability allows local attackers to escalate privileges on affected installations of Linux Kernel 5.11.15. An attacker must first obtain the ability to execute low-privileged code on the target system in order to exploit this vulnerability. The specific flaw exists within the handling of eBPF programs. The issue results from the lack of proper validation of user-supplied eBPF programs prior to executing them. An attacker can leverage this vulnerability to escalate privileges and execute arbitrary code in the context of the kernel. Was ZDI-CAN-13661.
14,CVE-2019-5853,682,,,2019-11-25,2020-08-24,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Inappropriate implementation in JavaScript in Google Chrome prior to 76.0.3809.87 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.
42,CVE-2011-3062,682,,DoS,2012-03-30,2020-04-14,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Off-by-one error in the OpenType Sanitizer in Google Chrome before 18.0.1025.142 allows remote attackers to cause a denial of service or possibly have unspecified other impact via a crafted OpenType file.
31,CVE-2017-8905,682,,Exec Code,2017-05-11,2019-10-03,6.8,None,Local,Low,???,Complete,Complete,Complete,Xen through 4.6.x on 64-bit platforms mishandles a failsafe callback
32,CVE-2017-8326,682,,DoS,2017-04-29,2019-10-03,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"libimageworsener.a in ImageWorsener before 1.3.1 has ""left shift cannot be represented in type int"" undefined behavior issues"
3,CVE-2021-3114,682,,,2021-01-26,2021-03-22,6.4,None,Remote,Low,Not required,Partial,Partial,None,In Go before 1.14.14 and 1.15.x before 1.15.7
8,CVE-2020-26262,682,,,2021-01-13,2021-01-20,6.4,None,Remote,Low,Not required,Partial,Partial,None,Coturn is free open source implementation of TURN and STUN Server. Coturn before version 4.5.2 by default does not allow peers to connect and relay packets to loopback addresses in the range of `127.x.x.x`. However
16,CVE-2019-1918,682,,DoS,2019-08-07,2020-10-16,6.1,None,Local Network,Low,Not required,None,None,Complete,A vulnerability in the implementation of Intermediate System&ndash;to&ndash;Intermediate System (IS&ndash;IS) routing protocol functionality in Cisco IOS XR Software could allow an unauthenticated attacker who is in the same IS-IS area to cause a denial of service (DoS) condition. The vulnerability is due to incorrect processing of IS&ndash;IS link-state protocol data units (PDUs). An attacker could exploit this vulnerability by sending specific link-state PDUs to an affected system to be processed. A successful exploit could allow the attacker to cause incorrect calculations used in the weighted remote shared risk link groups (SRLG) or in the IGP Flexible Algorithm. It could also cause tracebacks to the logs or potentially cause the receiving device to crash the IS&ndash;IS process
9,CVE-2020-26241,682,,,2020-11-25,2020-12-03,5.5,None,Remote,Low,???,None,Partial,Partial,Go Ethereum
41,CVE-2016-7433,682,,,2017-01-13,2021-06-08,5,None,Remote,Low,Not required,None,None,Partial,NTP before 4.2.8p9 does not properly perform the initial sync calculations
4,CVE-2021-3004,682,,,2021-01-03,2021-01-07,5,None,Remote,Low,Not required,None,Partial,None,The _deposit function in the smart contract implementation for Stable Yield Credit (yCREDIT)
10,CVE-2020-26240,682,,,2020-11-25,2020-12-03,5,None,Remote,Low,Not required,None,Partial,None,Go Ethereum
18,CVE-2018-18225,682,,,2018-10-12,2020-10-15,5,None,Remote,Low,Not required,None,None,Partial,In Wireshark 2.6.0 to 2.6.3
17,CVE-2018-20999,682,,,2019-08-26,2020-08-24,5,None,Remote,Low,Not required,None,None,Partial,An issue was discovered in the orion crate before 0.11.2 for Rust. reset() calls cause incorrect results.
33,CVE-2017-5462,682,,,2018-06-11,2019-10-03,5,None,Remote,Low,Not required,None,Partial,None,A flaw in DRBG number generation within the Network Security Services (NSS) library where the internal state V does not correctly carry bits over. The NSS library has been updated to fix this issue to address this issue and Firefox ESR 52.1 has been updated with NSS version 3.28.4. This vulnerability affects Thunderbird < 52.1
21,CVE-2018-14439,682,,,2018-07-20,2018-09-17,5,None,Remote,Low,Not required,None,Partial,None,espritblock eos4j
34,CVE-2017-2618,682,,,2018-07-27,2019-10-09,4.9,None,Local,Low,Not required,None,None,Complete,A flaw was found in the Linux kernel's handling of clearing SELinux attributes on /proc/pid/attr files before 4.9.10. An empty (null) write to this file can crash the system by causing the system to attempt to access unmapped kernel memory.
26,CVE-2017-12135,682,,DoS +Priv +Info,2017-08-24,2020-04-14,4.6,None,Local,Low,Not required,Partial,Partial,Partial,Xen allows local OS guest users to cause a denial of service (crash) or possibly obtain sensitive information or gain privileges via vectors involving transitive grants.
22,CVE-2018-11790,682,,Overflow,2019-01-31,2019-10-17,4.6,None,Local,Low,Not required,Partial,Partial,Partial,When loading a document with Apache Open Office 4.1.5 and earlier with smaller end line termination than the operating system uses
2,CVE-2021-29945,682,,,2021-06-24,2021-06-30,4.3,None,Remote,Medium,Not required,None,None,Partial,The WebAssembly JIT could miscalculate the size of a return type
19,CVE-2018-16781,682,,DoS,2018-09-10,2020-08-24,4.3,None,Remote,Medium,Not required,None,None,Partial,ffjpeg.dll in ffjpeg before 2018-08-22 allows remote attackers to cause a denial of service (FPE signal) via a progressive JPEG file that lacks an AC Huffman table.
43,CVE-2011-1573,682,,DoS,2012-02-02,2020-08-04,4.3,None,Remote,Medium,Not required,None,None,Partial,net/sctp/sm_make_chunk.c in the Linux kernel before 2.6.34
12,CVE-2019-20051,682,,DoS,2019-12-27,2020-02-03,4.3,None,Remote,Medium,Not required,None,None,Partial,A floating-point exception was discovered in PackLinuxElf::elf_hash in p_lx_elf.cpp in UPX 3.95. The vulnerability causes an application crash
28,CVE-2017-11537,682,,,2017-07-23,2019-10-03,4.3,None,Remote,Medium,Not required,None,None,Partial,When ImageMagick 7.0.6-1 processes a crafted file in convert
30,CVE-2017-8932,682,,,2017-07-06,2019-10-03,4.3,None,Remote,Medium,Not required,Partial,None,None,A bug in the standard library ScalarMult implementation of curve P-256 for amd64 architectures in Go before 1.7.6 and 1.8.x before 1.8.2 causes incorrect results to be generated for specific input points. An adaptive attack can be mounted to progressively extract the scalar input to ScalarMult by submitting crafted points and observing failures to the derive correct output. This leads to a full key recovery attack against static ECDH
6,CVE-2020-27616,682,,,2020-11-06,2020-12-02,4,None,Remote,Low,???,None,None,Partial,ati_2d_blt in hw/display/ati_2d.c in QEMU 4.2.1 can encounter an outside-limits situation in a calculation. A guest can crash the QEMU process.
7,CVE-2020-26265,682,,,2020-12-11,2020-12-14,3.5,None,Remote,Medium,???,None,Partial,None,Go Ethereum
40,CVE-2016-9377,682,,DoS,2017-02-22,2017-07-28,2.1,None,Local,Low,Not required,None,None,Partial,Xen 4.5.x through 4.7.x on AMD systems without the NRip feature
