#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description,
1197,CVE-2016-4780,476,,DoS Exec Code,2017-02-20,2017-02-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"An issue was discovered in certain Apple products. macOS before 10.12.1 is affected. The issue involves the ""Thunderbolt"" component. It allows attackers to execute arbitrary code in a privileged context or cause a denial of service (NULL pointer dereference) via a crafted app.",
1127,CVE-2016-9313,476,,DoS,2016-11-28,2016-11-30,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,security/keys/big_key.c in the Linux kernel before 4.8.7 mishandles unsuccessful crypto registration in conjunction with successful key-type registration,
434,CVE-2019-10510,476,,,2019-09-30,2019-10-02,8.5,None,Remote,Low,Not required,None,Partial,Complete,BT process died and BT toggled due to null pointer dereference when invalid vendor pass through command sent from remote in Snapdragon Auto,
1238,CVE-2015-9124,476,,,2018-04-18,2018-05-09,8.5,None,Remote,Low,Not required,Partial,None,Complete,In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9625,
575,CVE-2018-19029,476,,Exec Code,2019-02-05,2019-10-09,8.3,None,Remote,Medium,Not required,Partial,Partial,Complete,LCDS Laquis SCADA prior to version 4.1.0.4150 allows an attacker using a specially crafted project file to supply a pointer for a controlled memory address,
1345,CVE-2010-4263,476,,DoS,2011-01-18,2020-08-07,7.9,None,Local Network,Medium,Not required,Complete,Complete,Complete,The igb_receive_skb function in drivers/net/igb/igb_main.c in the Intel Gigabit Ethernet (aka igb) subsystem in the Linux kernel before 2.6.34,
391,CVE-2019-12615,476,,DoS,2019-06-03,2021-06-02,7.8,None,Remote,Low,Not required,None,None,Complete,An issue was discovered in get_vdev_port_node_info in arch/sparc/kernel/mdesc.c in the Linux kernel through 5.1.6. There is an unchecked kstrdup_const of node_info->vdev_port.name,
128,CVE-2020-23539,476,,DoS,2021-04-08,2021-04-14,7.8,None,Remote,Low,Not required,None,None,Complete,An issue was discovered in Realtek rtl8723de BLE Stack <= 4.1 that allows remote attackers to cause a Denial of Service via the interval field to the CONNECT_REQ message.,
103,CVE-2020-27279,476,,,2021-01-06,2021-01-08,7.8,None,Remote,Low,Not required,None,None,Complete,A NULL pointer deference vulnerability has been identified in the protocol converter. An attacker could send a specially crafted packet that could reboot the device running Crimson 3.1 (Build versions prior to 3119.001).,
98,CVE-2020-28344,476,,,2020-11-08,2020-11-16,7.8,None,Remote,Low,Not required,None,None,Complete,An issue was discovered on LG mobile devices with Android OS 8.0,
461,CVE-2019-8588,476,,DoS,2020-10-27,2020-10-30,7.8,None,Remote,Low,Not required,None,None,Complete,A null pointer dereference was addressed with improved input validation. This issue is fixed in AirPort Base Station Firmware Update 7.8.1,
189,CVE-2020-11158,476,,DoS,2020-09-08,2020-09-14,7.8,None,Remote,Low,Not required,None,None,Complete,u'Null pointer dereference in HP OfficeJet Pro 8210 jbig2 filter due to lack of check of PDF font array leads to denial of service' in IPS PDF releases prior to IPS System 2020.2,
240,CVE-2020-3517,476,,DoS,2020-08-27,2020-09-04,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the Cisco Fabric Services component of Cisco FXOS Software and Cisco NX-OS Software could allow an unauthenticated attacker to cause process crashes,
1303,CVE-2014-0101,476,,DoS,2014-03-11,2020-08-25,7.8,None,Remote,Low,Not required,None,None,Complete,The sctp_sf_do_5_1D_ce function in net/sctp/sm_statefuns.c in the Linux kernel through 3.13.6 does not validate certain auth_enable and auth_capable fields before making an sctp_sf_authenticate call,
374,CVE-2019-14003,476,,,2020-01-21,2020-08-24,7.8,None,Remote,Low,Not required,None,None,Complete,Null pointer exception can happen while parsing invalid MKV clip where cue information is parsed before segment information in Snapdragon Auto,
415,CVE-2019-11810,476,,DoS,2019-05-07,2020-08-24,7.8,None,Remote,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel before 5.0.7. A NULL pointer dereference can occur when megasas_create_frame_pool() fails in megasas_alloc_cmds() in drivers/scsi/megaraid/megaraid_sas_base.c. This causes a Denial of Service,
1339,CVE-2011-0709,476,,DoS,2011-02-18,2020-08-14,7.8,None,Remote,Low,Not required,None,None,Complete,The br_mdb_ip_get function in net/bridge/br_multicast.c in the Linux kernel before 2.6.35-rc5 allows remote attackers to cause a denial of service (NULL pointer dereference and system crash) via an IGMP packet,
1327,CVE-2011-2482,476,,DoS,2013-06-08,2020-07-31,7.8,None,Remote,Low,Not required,None,None,Complete,A certain Red Hat patch to the sctp_sock_migrate function in net/sctp/socket.c in the Linux kernel before 2.6.21,
1337,CVE-2011-1093,476,,DoS,2011-07-18,2020-07-31,7.8,None,Remote,Low,Not required,None,None,Complete,The dccp_rcv_state_process function in net/dccp/input.c in the Datagram Congestion Control Protocol (DCCP) implementation in the Linux kernel before 2.6.38 does not properly handle packets for a CLOSED endpoint,
372,CVE-2019-14012,476,,,2020-04-16,2020-04-21,7.8,None,Remote,Low,Not required,None,None,Complete,Possibility of null pointer deference as the array of video codecs from media info is referenced without null checking while processing SDP messages in Snapdragon Auto,
1084,CVE-2016-11039,476,,,2020-04-07,2020-04-09,7.8,None,Remote,Low,Not required,None,None,Complete,An issue was discovered on Samsung mobile devices with KK(4.4),
1371,CVE-2007-0039,476,,DoS,2007-05-08,2020-04-09,7.8,None,Remote,Low,Not required,None,None,Complete,The Exchange Collaboration Data Objects (EXCDO) functionality in Microsoft Exchange Server 2000 SP3,
428,CVE-2019-10591,476,,,2020-03-05,2020-03-09,7.8,None,Remote,Low,Not required,None,None,Complete,Null pointer dereference can happen when parsing udta atom which is non-standard and having invalid depth in Snapdragon Auto,
430,CVE-2019-10549,476,,,2020-03-05,2020-03-07,7.8,None,Remote,Low,Not required,None,None,Complete,Null pointer dereference issue can happen due to improper validation of CSEQ header response received from network in Snapdragon Auto,
371,CVE-2019-14061,476,,,2020-03-05,2020-03-06,7.8,None,Remote,Low,Not required,None,None,Complete,Null-pointer dereference can occur while accessing the segment element info when it is not allocated and assigned in Snapdragon Auto,
268,CVE-2019-20424,476,,,2020-01-27,2020-01-28,7.8,None,Remote,Low,Not required,None,None,Complete,In the Lustre file system before 2.12.3,
373,CVE-2019-14008,476,,,2020-01-21,2020-01-23,7.8,None,Remote,Low,Not required,None,None,Complete,Possible null pointer dereference issue in location assistance data processing due to missing null check on resources before using it in Snapdragon Auto,
429,CVE-2019-10578,476,,,2020-01-21,2020-01-23,7.8,None,Remote,Low,Not required,None,None,Complete,Null pointer dereference can occur while parsing the clip which is nonstandard in Snapdragon Auto,
1296,CVE-2014-4344,476,,DoS,2014-08-14,2020-01-21,7.8,None,Remote,Low,Not required,None,None,Complete,The acc_ctx_cont function in the SPNEGO acceptor in lib/gssapi/spnego/spnego_mech.c in MIT Kerberos 5 (aka krb5) 1.5.x through 1.12.x before 1.12.2 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via an empty continuation token at a certain point during a SPNEGO negotiation.,
303,CVE-2019-18680,476,,DoS,2019-11-04,2019-12-05,7.8,None,Remote,Low,Not required,None,None,Complete,An issue was discovered in the Linux kernel 4.4.x before 4.4.195. There is a NULL pointer dereference in rds_tcp_kill_sock() in net/rds/tcp.c that will cause denial of service,
389,CVE-2019-12654,476,,DoS,2019-09-25,2019-10-09,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the common Session Initiation Protocol (SIP) library of Cisco IOS and IOS XE Software could allow an unauthenticated,
390,CVE-2019-12647,476,,DoS,2019-09-25,2019-10-09,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the Ident protocol handler of Cisco IOS and IOS XE Software could allow an unauthenticated,
507,CVE-2019-1922,476,,DoS,2019-07-06,2019-10-09,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in Cisco SIP IP Phone Software for Cisco IP Phone 7800 Series and 8800 Series could allow an unauthenticated,
508,CVE-2019-1900,476,,DoS,2019-08-21,2019-10-09,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the web server of Cisco Integrated Management Controller (IMC) could allow an unauthenticated,
435,CVE-2019-10489,476,,,2019-09-30,2019-10-02,7.8,None,Remote,Low,Not required,None,None,Complete,Possible null-pointer dereference can occur while parsing avi clip during copy in Snapdragon Auto,
351,CVE-2019-15099,476,,,2019-08-16,2019-09-06,7.8,None,Remote,Low,Not required,None,None,Complete,drivers/net/wireless/ath/ath10k/usb.c in the Linux kernel through 5.2.8 has a NULL pointer dereference via an incomplete address in an endpoint descriptor.,
504,CVE-2019-2334,476,,,2019-07-25,2019-07-30,7.8,None,Remote,Low,Not required,None,None,Complete,Null pointer dereferencing can happen when playing the clip with wrong block group id in Snapdragon Auto,
1194,CVE-2016-4959,476,,DoS,2016-11-08,2019-05-30,7.8,None,Remote,Low,Not required,None,None,Complete,For the NVIDIA Quadro,
762,CVE-2018-4024,476,,,2019-05-13,2019-05-16,7.8,None,Remote,Low,Not required,None,None,Complete,An exploitable denial-of-service vulnerability exists in the thumbnail display functionality of the NT9665X Chipset firmware,
1275,CVE-2015-4047,476,,DoS,2015-05-29,2019-03-27,7.8,None,Remote,Low,Not required,None,None,Complete,racoon/gssapi.c in IPsec-Tools 0.8.2 allows remote attackers to cause a denial of service (NULL pointer dereference and IKE daemon crash) via a series of crafted UDP requests.,
592,CVE-2018-18318,476,,DoS,2018-10-15,2019-01-23,7.8,None,Remote,Low,Not required,None,None,Complete,The /dev/block/mmcblk0rpmb driver kernel module on Qiku 360 Phone N6 Pro 1801-A01 devices allows attackers to cause a denial of service (NULL pointer dereference and device crash) via a crafted 0xc0d8b300 ioctl call.,
606,CVE-2018-17127,476,,DoS,2018-09-17,2019-01-18,7.8,None,Remote,Low,Not required,None,None,Complete,blocking_request.cgi on ASUS GT-AC5300 devices through 3.0.0.4.384_32738 allows remote attackers to cause a denial of service (NULL pointer dereference and device crash) via a request that lacks a timestap parameter.,
919,CVE-2017-13291,476,,DoS,2018-04-04,2018-05-09,7.8,None,Remote,Low,Not required,None,None,Complete,In avrc_ctrl_pars_vendor_rsp of avrc_pars_ct.cc,
761,CVE-2018-4140,476,,DoS,2018-04-03,2018-05-03,7.8,None,Remote,Low,Not required,None,None,Complete,"An issue was discovered in certain Apple products. iOS before 11.3 is affected. The issue involves the ""Telephony"" component. It allows remote attackers to cause a denial of service (NULL pointer dereference and reboot) via a Class 0 SMS message.",
943,CVE-2017-12380,476,,DoS,2018-01-26,2018-03-16,7.8,None,Remote,Low,Not required,None,None,Complete,ClamAV AntiVirus software versions 0.99.2 and prior contain a vulnerability that could allow an unauthenticated,
936,CVE-2017-12545,476,,DoS,2018-02-15,2018-03-02,7.8,None,Remote,Low,Not required,None,None,Complete,A remote denial of service vulnerability in HPE System Management Homepage for Windows and Linux version prior to v7.6.1 was found.,
1370,CVE-2007-0887,476,,DoS,2007-02-12,2017-10-19,7.8,None,Remote,Low,Not required,None,None,Complete,axigen 1.2.6 through 2.0.0b1 does not properly parse login credentials,
1268,CVE-2015-7516,476,,DoS,2017-08-24,2017-08-30,7.8,None,Remote,Low,Not required,None,None,Complete,ONOS before 1.5.0 when using the ifwd app allows remote attackers to cause a denial of service (NULL pointer dereference and switch disconnect) by sending two Ethernet frames with ether_type Jumbo Frame (0x8870).,
1369,CVE-2007-1327,476,,DoS,2007-03-07,2017-07-29,7.8,None,Remote,Low,Not required,None,None,Complete,The SILC_SERVER_CMD_FUNC function in apps/silcd/command.c in silc-server 1.0.2 allows remote attackers to cause a denial of service (NULL dereference and daemon crash) via a request without a cipher algorithm and an invalid HMAC algorithm.,
1176,CVE-2016-6561,476,,,2017-03-31,2017-05-02,7.8,None,Remote,Low,Not required,None,None,Complete,illumos smbsrv NULL pointer dereference allows system crash.,
1143,CVE-2016-8726,476,,,2017-04-13,2017-04-20,7.8,None,Remote,Low,Not required,None,None,Complete,An exploitable null pointer dereference vulnerability exists in the Web Application /forms/web_runScript iw_filename functionality of Moxa AWK-3131A Wireless Access Point running firmware 1.1. An HTTP POST request with a blank line in the header will cause a segmentation fault in the web server.,
1144,CVE-2016-8723,476,,,2017-04-13,2017-04-20,7.8,None,Remote,Low,Not required,None,None,Complete,An exploitable null pointer dereference exists in the Web Application functionality of Moxa AWK-3131A Wireless Access Point running firmware 1.1. Any HTTP GET request not preceded by an '/' will cause a segmentation fault in the web server. An attacker can send any of a multitude of potentially unexpected HTTP get requests to trigger this vulnerability.,
1164,CVE-2016-7160,476,,,2016-11-03,2016-11-28,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability on Samsung Mobile M(6.0) devices exists because external access to SystemUI activities is not properly restricted,
307,CVE-2019-17539,476,,,2019-10-14,2021-06-10,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,In FFmpeg before 4.2,
1064,CVE-2017-3169,476,,,2017-06-20,2021-06-06,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,In Apache httpd 2.2.x before 2.2.33 and 2.4.x before 2.4.26,
36,CVE-2021-28300,476,,Exec Code,2021-04-14,2021-04-21,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"NULL Pointer Dereference in the ""isomedia/track.c"" module's ""MergeTrack()"" function of GPAC v0.5.2 allows attackers to execute arbitrary code or cause a Denial-of-Service (DoS) by uploading a malicious MP4 file.",
82,CVE-2020-35860,476,,,2020-12-31,2021-01-06,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,An issue was discovered in the cbox crate through 2020-03-19 for Rust. The CBox API allows dereferencing raw pointers without a requirement for unsafe code.,
1347,CVE-2010-3702,476,,DoS,2010-11-05,2020-12-23,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The Gfx::getPos function in the PDF parser in xpdf before 3.02pl5,
1376,CVE-2004-0119,476,,DoS Exec Code,2004-06-01,2020-11-13,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The Negotiate Security Software Provider (SSP) interface in Windows 2000,
462,CVE-2019-8572,476,,Exec Code,2020-10-27,2020-10-30,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A null pointer dereference was addressed with improved input validation. This issue is fixed in AirPort Base Station Firmware Update 7.8.1,
