#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description,,,,
20,CVE-2021-30014,190,,Overflow,2021-04-19,2021-04-21,4.3,None,Remote,Medium,Not required,None,None,Partial,There is a integer overflow in media_tools/av_parsers.c in the hevc_parse_slice_segment function in GPAC 1.0.1 which results in a crash.,,,,
21,CVE-2021-29946,190,,Overflow Bypass,2021-06-24,2021-06-25,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Ports that were written as an integer overflow above the bounds of a 16-bit integer could have bypassed port blocking restrictions when used in the Alt-Svc header. This vulnerability affects Firefox ESR < 78.10,,,,
22,CVE-2021-29605,190,,Overflow,2021-05-14,2021-05-18,2.1,None,Local,Low,Not required,None,None,Partial,TensorFlow is an end-to-end open source platform for machine learning. The TFLite code for allocating `TFLiteIntArray`s is vulnerable to an integer overflow issue(https://github.com/tensorflow/tensorflow/blob/4ceffae632721e52bf3501b736e4fe9d1221cdfa/tensorflow/lite/c/common.c#L24-L27). An attacker can craft a model such that the `size` multiplier is so large that the return value overflows the `int` datatype and becomes negative. In turn,,,,
23,CVE-2021-29601,190,,Overflow,2021-05-14,2021-05-20,3.6,None,Local,Low,Not required,None,Partial,Partial,TensorFlow is an end-to-end open source platform for machine learning. The TFLite implementation of concatenation is vulnerable to an integer overflow issue(https://github.com/tensorflow/tensorflow/blob/7b7352a724b690b11bfaae2cd54bc3907daf6285/tensorflow/lite/kernels/concatenation.cc#L70-L76). An attacker can craft a model such that the dimensions of one of the concatenation input overflow the values of `int`. TFLite uses `int` to represent tensor dimensions,,,,
24,CVE-2021-29584,190,,DoS Overflow,2021-05-14,2021-05-20,2.1,None,Local,Low,Not required,None,None,Partial,TensorFlow is an end-to-end open source platform for machine learning. An attacker can trigger a denial of service via a `CHECK`-fail in caused by an integer overflow in constructing a new tensor shape. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/0908c2f2397c099338b901b067f6495a5b96760b/tensorflow/core/kernels/sparse_split_op.cc#L66-L70) builds a dense shape without checking that the dimensions would not result in overflow. The `TensorShape` constructor(https://github.com/tensorflow/tensorflow/blob/6f9896890c4c703ae0a0845394086e2e1e523299/tensorflow/core/framework/tensor_shape.cc#L183-L188) uses a `CHECK` operation which triggers when `InitDims`(https://github.com/tensorflow/tensorflow/blob/6f9896890c4c703ae0a0845394086e2e1e523299/tensorflow/core/framework/tensor_shape.cc#L212-L296) returns a non-OK status. This is a legacy implementation of the constructor and operations should use `BuildTensorShapeBase` or `AddDimWithStatus` to prevent `CHECK`-failures in the presence of overflows. The fix will be included in TensorFlow 2.5.0. We will also cherrypick this commit on TensorFlow 2.4.2,,,,
25,CVE-2021-29523,190,,DoS Overflow,2021-05-14,2021-05-20,2.1,None,Local,Low,Not required,None,None,Partial,TensorFlow is an end-to-end open source platform for machine learning. An attacker can trigger a denial of service via a `CHECK`-fail in `tf.raw_ops.AddManySparseToTensorsMap`. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/6f9896890c4c703ae0a0845394086e2e1e523299/tensorflow/core/kernels/sparse_tensors_map_ops.cc#L257) takes the values specified in `sparse_shape` as dimensions for the output shape. The `TensorShape` constructor(https://github.com/tensorflow/tensorflow/blob/6f9896890c4c703ae0a0845394086e2e1e523299/tensorflow/core/framework/tensor_shape.cc#L183-L188) uses a `CHECK` operation which triggers when `InitDims`(https://github.com/tensorflow/tensorflow/blob/6f9896890c4c703ae0a0845394086e2e1e523299/tensorflow/core/framework/tensor_shape.cc#L212-L296) returns a non-OK status. This is a legacy implementation of the constructor and operations should use `BuildTensorShapeBase` or `AddDimWithStatus` to prevent `CHECK`-failures in the presence of overflows. The fix will be included in TensorFlow 2.5.0. We will also cherrypick this commit on TensorFlow 2.4.2,,,,
26,CVE-2021-29478,190,,Exec Code Overflow,2021-05-04,2021-05-18,6,None,Remote,Medium,???,Partial,Partial,Partial,Redis is an open source (BSD licensed),,,,
27,CVE-2021-29477,190,,Exec Code Overflow,2021-05-04,2021-06-11,6.5,None,Remote,Low,???,Partial,Partial,Partial,Redis is an open source (BSD licensed),,,,
28,CVE-2021-29338,190,,DoS Overflow,2021-04-14,2021-06-12,4.3,None,Remote,Medium,Not required,None,None,Partial,Integer Overflow in OpenJPEG v2.4.0 allows remote attackers to crash the application,,,,
29,CVE-2021-28879,190,,Overflow,2021-04-11,2021-04-27,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,In the standard library in Rust before 1.52.0,,,,
30,CVE-2021-28682,190,,Overflow,2021-05-20,2021-05-27,5,None,Remote,Low,Not required,None,None,Partial,An issue was discovered in Envoy through 1.71.1. There is a remotely exploitable integer overflow in which a very large grpc-timeout value leads to unexpected timeout calculations.,,,,
31,CVE-2021-27259,190,,Exec Code Overflow,2021-04-14,2021-04-22,4.4,None,Local,Medium,Not required,Partial,Partial,Partial,This vulnerability allows local attackers to escalate privileges on affected installations of Parallels Desktop 16.0.1-48919. An attacker must first obtain the ability to execute low-privileged code on the target guest system in order to exploit this vulnerability. The specific flaw exists within the Toolgate component. The issue results from the lack of proper validation of user-supplied data,,,,
32,CVE-2021-27243,190,,Exec Code Overflow,2021-03-29,2021-04-01,4.6,None,Local,Low,Not required,Partial,Partial,Partial,This vulnerability allows local attackers to escalate privileges on affected installations of Parallels Desktop 16.0.1-48919. An attacker must first obtain the ability to execute low-privileged code on the target guest system in order to exploit this vulnerability. The specific flaw exists within the Toolgate component. The issue results from the lack of proper validation of user-supplied data,,,,
33,CVE-2021-26825,190,,Exec Code Overflow,2021-02-08,2021-02-11,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An integer overflow issue exists in Godot Engine up to v3.2 that can be triggered when loading specially crafted.TGA image files. The vulnerability exists in ImageLoaderTGA::load_image() function at line: const size_t buffer_size = (tga_header.image_width * tga_header.image_height) * pixel_size; The bug leads to Dynamic stack buffer overflow. Depending on the context of the application,,,,
34,CVE-2021-26461,190,,Exec Code,2021-06-21,2021-06-24,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Apache Nuttx Versions prior to 10.1.0 are vulnerable to integer wrap-around in functions malloc,,,,
35,CVE-2021-24025,190,,Overflow,2021-03-10,2021-03-16,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Due to incorrect string size calculations inside the preg_quote function,,,,
36,CVE-2021-23841,190,,DoS,2021-02-16,2021-06-17,4.3,None,Remote,Medium,Not required,None,None,Partial,The OpenSSL public API function X509_issuer_and_serial_hash() attempts to create a unique hash value based on the issuer and serial number data contained within an X509 certificate. However it fails to correctly handle any errors that may occur while parsing the issuer field (which might occur if the issuer field is maliciously constructed). This may subsequently result in a NULL pointer deref and a crash leading to a potential denial of service attack. The function X509_issuer_and_serial_hash() is never directly called by OpenSSL itself so applications are only vulnerable if they use this function directly and they use it on certificates that may have been obtained from untrusted sources. OpenSSL versions 1.1.1i and below are affected by this issue. Users of these versions should upgrade to OpenSSL 1.1.1j. OpenSSL versions 1.0.2x and below are affected by this issue. However OpenSSL 1.0.2 is out of support and no longer receiving public updates. Premium support customers of OpenSSL 1.0.2 should upgrade to 1.0.2y. Other users should upgrade to 1.1.1j. Fixed in OpenSSL 1.1.1j (Affected 1.1.1-1.1.1i). Fixed in OpenSSL 1.0.2y (Affected 1.0.2-1.0.2x).,,,,
37,CVE-2021-23840,190,,Overflow,2021-02-16,2021-06-29,5,None,Remote,Low,Not required,None,None,Partial,Calls to EVP_CipherUpdate,,,,
38,CVE-2021-23215,190,,Overflow,2021-06-08,2021-07-03,4.3,None,Remote,Medium,Not required,None,None,Partial,An integer overflow leading to a heap-buffer overflow was found in the DwaCompressor of OpenEXR in versions before 3.0.1. An attacker could use this flaw to crash an application compiled with OpenEXR.,,,,
39,CVE-2021-22679,190,,Exec Code Overflow,2021-05-07,2021-05-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The affected product is vulnerable to an integer overflow while processing HTTP headers,,,,
40,CVE-2021-22677,190,,Exec Code Overflow,2021-05-07,2021-05-17,4.6,None,Local,Low,Not required,Partial,Partial,Partial,An integer overflow exists in the APIs of the host MCU while trying to connect to a WIFI network may lead to issues such as a denial-of-service condition or code execution on the SimpleLink Wi-Fi (MSP432E4 SDK: v4.20.00.12 and prior,,,,
41,CVE-2021-22675,190,,Exec Code Overflow,2021-05-07,2021-05-17,6.5,None,Remote,Low,???,Partial,Partial,Partial,The affected product is vulnerable to integer overflow while parsing malformed over-the-air firmware update files,,,,
42,CVE-2021-22671,190,,Exec Code Overflow,2021-05-07,2021-05-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Multiple integer overflow issues exist while processing long domain names,,,,
43,CVE-2021-21795,190,,Overflow,2021-06-11,2021-06-23,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A heap-based buffer overflow vulnerability exists in the PSD read_icc_icCurve_data functionality of Accusoft ImageGear 19.9. A specially crafted malformed file can lead to an integer overflow that,,,,
44,CVE-2021-21783,190,,Exec Code,2021-03-25,2021-03-25,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A code execution vulnerability exists in the WS-Addressing plugin functionality of Genivia gSOAP 2.8.107. A specially crafted SOAP request can lead to remote code execution. An attacker can send an HTTP request to trigger this vulnerability.,,,,
45,CVE-2021-21309,190,,Exec Code Overflow Mem. Corr.,2021-02-26,2021-03-31,6.5,None,Remote,Low,???,Partial,Partial,Partial,Redis is an open-source,,,,
46,CVE-2021-21223,190,,Overflow,2021-04-26,2021-06-01,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Integer overflow in Mojo in Google Chrome prior to 90.0.4430.85 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page.,,,,
47,CVE-2021-21036,190,,Exec Code Overflow,2021-02-11,2021-02-12,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Acrobat Reader DC versions versions 2020.013.20074 (and earlier),,,,
48,CVE-2021-20312,190,,Overflow,2021-05-11,2021-06-03,7.8,None,Remote,Low,Not required,None,None,Complete,A flaw was found in ImageMagick in versions 7.0.11,,,,
49,CVE-2021-20308,190,,DoS Exec Code Overflow,2021-04-05,2021-07-01,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Integer overflow in the htmldoc 1.9.11 and before may allow attackers to execute arbitrary code and cause a denial of service that is similar to CVE-2017-9181.,,,,
50,CVE-2021-20203,190,,Overflow,2021-02-25,2021-04-11,2.1,None,Local,Low,Not required,None,None,Partial,An integer overflow issue was found in the vmxnet3 NIC emulator of the QEMU for versions up to v5.2.0. It may occur if a guest was to supply invalid values for rx/tx queue size or other NIC parameters. A privileged guest user may use this flaw to crash the QEMU process on the host resulting in DoS scenario.,,,,
51,CVE-2021-3476,190,,Overflow,2021-03-30,2021-07-03,5,None,Remote,Low,Not required,None,None,Partial,A flaw was found in OpenEXR's B44 uncompression functionality in versions before 3.0.0-beta. An attacker who is able to submit a crafted file to OpenEXR could trigger shift overflows,,,,
52,CVE-2021-3475,190,,Overflow,2021-03-30,2021-07-03,5,None,Remote,Low,Not required,None,None,Partial,There is a flaw in OpenEXR in versions before 3.0.0-beta. An attacker who can submit a crafted file to be processed by OpenEXR could cause an integer overflow,,,,
53,CVE-2021-3474,190,,Overflow,2021-03-30,2021-07-03,5,None,Remote,Low,Not required,None,None,Partial,There's a flaw in OpenEXR in versions before 3.0.0-beta. A crafted input file that is processed by OpenEXR could cause a shift overflow in the FastHufDecoder,,,,
54,CVE-2021-3420,190,,Overflow,2021-03-05,2021-03-24,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A flaw was found in newlib in versions prior to 4.0.0. Improper overflow validation in the memory allocation functions mEMALIGn,,,,
55,CVE-2021-3402,190,,DoS Overflow,2021-05-14,2021-05-24,6.4,None,Remote,Low,Not required,Partial,None,Partial,An integer overflow and several buffer overflow reads in libyara/modules/macho/macho.c in YARA v4.0.3 and earlier could allow an attacker to either cause denial of service or information disclosure via a malicious Mach-O file. Affects all versions before libyara 4.0.4,,,,
56,CVE-2021-1895,190,,Overflow,2021-05-07,2021-05-12,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Possible integer overflow due to improper length check while flashing an image in Snapdragon Consumer IOT,,,,
57,CVE-2021-1059,190,,DoS Overflow,2021-01-08,2021-01-11,4.6,None,Local,Low,Not required,Partial,Partial,Partial,NVIDIA vGPU manager contains a vulnerability in the vGPU plugin,,,,
58,CVE-2021-0494,190,,Overflow,2021-06-11,2021-06-15,7.2,None,Local,Low,Not required,Complete,Complete,Complete,In memory management driver,,,,
59,CVE-2021-0458,190,,Overflow,2021-03-10,2021-03-16,2.1,None,Local,Low,Not required,Partial,None,None,In the FingerTipS touch screen driver,,,,
60,CVE-2021-0436,190,,Overflow,2021-04-13,2021-04-16,2.1,None,Local,Low,Not required,Partial,None,None,In CryptoPlugin::decrypt of CryptoPlugin.cpp,,,,
61,CVE-2021-0355,190,,Overflow,2021-02-03,2021-02-04,4.6,None,Local,Low,Not required,Partial,Partial,Partial,In kisd,,,,
62,CVE-2020-36242,190,,Overflow,2021-02-07,2021-02-19,6.4,None,Remote,Low,Not required,Partial,None,Partial,In the cryptography package before 3.3.2 for Python,,,,
63,CVE-2020-35523,190,,Exec Code Overflow,2021-03-09,2021-06-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An integer overflow flaw was found in libtiff that exists in the tif_getimage.c file. This flaw allows an attacker to inject and execute arbitrary code when a user opens a crafted TIFF file. The highest threat from this vulnerability is to confidentiality,,,,
64,CVE-2020-35457,190,,Overflow,2020-12-14,2020-12-17,4.6,None,Local,Low,Not required,Partial,Partial,Partial,** DISPUTED ** GNOME GLib before 2.65.3 has an integer overflow,,,,
65,CVE-2020-35230,190,,DoS Overflow,2021-03-10,2021-03-17,6.7,None,Local Network,Low,???,Partial,Partial,Complete,Multiple integer overflow parameters were found in the web administration panel on NETGEAR JGS516PE/GS116Ev2 v2.6.0.43 devices. Most of the integer parameters sent through the web server can be abused to cause a denial of service attack.,,,,
66,CVE-2020-35198,190,,Overflow Mem. Corr.,2021-05-12,2021-06-04,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,An issue was discovered in Wind River VxWorks 7. The memory allocator has a possible integer overflow in calculating a memory block's size to be allocated by calloc(). As a result,,,,
67,CVE-2020-29384,190,,Overflow,2020-11-30,2020-12-04,4.3,None,Remote,Medium,Not required,None,None,Partial,An issue was discovered in PNGOUT 2020-01-15. When compressing a crafted PNG file,,,,
68,CVE-2020-29361,190,,Overflow,2020-12-16,2021-06-29,5,None,Remote,Low,Not required,None,None,Partial,An issue was discovered in p11-kit 0.21.1 through 0.23.21. Multiple integer overflows have been discovered in the array allocations in the p11-kit library and the p11-kit list command,,,,
69,CVE-2020-29238,190,,Overflow +Info,2021-03-10,2021-04-13,5,None,Remote,Low,Not required,Partial,None,None,An integer buffer overflow in the Nginx webserver of ExpressVPN Router version 1 allows remote attackers to obtain sensitive information when the server running as reverse proxy via specially crafted request.,,,,
70,CVE-2020-28371,190,,Overflow Bypass,2020-11-09,2020-11-24,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,** UNSUPPORTED WHEN ASSIGNED ** An issue was discovered in ReadyTalk Avian 1.2.0 before 2020-10-27. The FileOutputStream.write() method in FileOutputStream.java has a boundary check to prevent out-of-bounds memory read/write operations. However,,,,
71,CVE-2020-28248,190,,Overflow,2021-02-20,2021-02-25,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An integer overflow in the PngImg::InitStorage_() function of png-img before 3.1.0 leads to an under-allocation of heap memory and subsequently an exploitable heap-based buffer overflow when loading a crafted PNG file.,,,,
72,CVE-2020-28020,190,,Exec Code Overflow,2021-05-06,2021-05-10,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Exim 4 before 4.92 allows Integer Overflow to Buffer Overflow,,,,
73,CVE-2020-28017,190,,Overflow,2021-05-06,2021-05-10,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Exim 4 before 4.94.2 allows Integer Overflow to Buffer Overflow in receive_add_recipient via an e-mail message with fifty million recipients. NOTE: remote exploitation may be difficult because of resource consumption.,,,,
74,CVE-2020-28009,190,,Overflow,2021-05-06,2021-05-10,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Exim 4 before 4.94.2 allows Integer Overflow to Buffer Overflow because get_stdinput allows unbounded reads that are accompanied by unbounded increases in a certain size variable. NOTE: exploitation may be impractical because of the execution time needed to overflow (multiple days).,,,,
75,CVE-2020-27945,190,,Exec Code Overflow,2021-04-02,2021-04-07,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An integer overflow was addressed with improved input validation. This issue is fixed in macOS Big Sur 11.2,,,,
76,CVE-2020-27911,190,,Exec Code Overflow,2020-12-08,2021-03-10,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,An integer overflow was addressed through improved input validation. This issue is fixed in macOS Big Sur 11.0.1,,,,
77,CVE-2020-27906,190,,Overflow,2020-12-08,2021-03-10,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Multiple integer overflows were addressed with improved input validation. This issue is fixed in macOS Big Sur 11.0.1. A remote attacker may be able to cause unexpected application termination or heap corruption.,,,,
78,CVE-2020-27813,190,,DoS Overflow,2020-12-02,2021-02-25,5,None,Remote,Low,Not required,None,None,Partial,An integer overflow vulnerability exists with the length of websocket frames received via a websocket connection. An attacker would use this flaw to cause a denial of service attack on an HTTP Server allowing websocket connections.,,,,
79,CVE-2020-27776,190,,,2020-12-04,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in MagickCore/statistic.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type unsigned long. This would most likely lead to an impact to application availability,,,,
80,CVE-2020-27775,190,,,2020-12-04,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in MagickCore/quantum.h. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type unsigned char. This would most likely lead to an impact to application availability,,,,
81,CVE-2020-27774,190,,,2020-12-04,2021-04-28,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in MagickCore/statistic.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of a too large shift for 64-bit type `ssize_t`. This would most likely lead to an impact to application availability,,,,
82,CVE-2020-27772,190,,,2020-12-04,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in coders/bmp.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned int`. This would most likely lead to an impact to application availability,,,,
83,CVE-2020-27771,190,,,2020-12-04,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,In RestoreMSCWarning() of /coders/pdf.c there are several areas where calls to GetPixelIndex() could result in values outside the range of representable for the unsigned char type. The patch casts the return value of GetPixelIndex() to ssize_t type to avoid this bug. This undefined behavior could be triggered when ImageMagick processes a crafted pdf file. Red Hat Product Security marked this as Low severity because although it could potentially lead to an impact to application availability,,,,
84,CVE-2020-27770,190,,Overflow,2020-12-04,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,Due to a missing check for 0 value of `replace_extent`,,,,
85,CVE-2020-27769,190,,,2021-05-14,2021-05-19,4.3,None,Remote,Medium,Not required,None,None,Partial,In ImageMagick versions before 7.0.9-0,,,,
86,CVE-2020-27768,190,,,2021-02-23,2021-03-25,4.3,None,Remote,Medium,Not required,None,None,Partial,In ImageMagick,,,,
87,CVE-2020-27767,190,,,2020-12-04,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in MagickCore/quantum.h. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of types `float` and `unsigned char`. This would most likely lead to an impact to application availability,,,,
88,CVE-2020-27766,190,,,2020-12-04,2021-04-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A flaw was found in ImageMagick in MagickCore/statistic.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned long`. This would most likely lead to an impact to application availability,,,,
89,CVE-2020-27764,190,,,2020-12-03,2021-03-25,4.3,None,Remote,Medium,Not required,None,None,Partial,In /MagickCore/statistic.c,,,,
90,CVE-2020-27762,190,,,2020-12-03,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in coders/hdr.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned char`. This would most likely lead to an impact to application availability,,,,
91,CVE-2020-27761,190,,,2020-12-03,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,WritePALMImage() in /coders/palm.c used size_t casts in several areas of a calculation which could lead to values outside the range of representable type `unsigned long` undefined behavior when a crafted input file was processed by ImageMagick. The patch casts to `ssize_t` instead to avoid this issue. Red Hat Product Security marked the Severity as Low because although it could potentially lead to an impact to application availability,,,,
92,CVE-2020-27759,190,,,2020-12-03,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,In IntensityCompare() of /MagickCore/quantize.c,,,,
93,CVE-2020-27758,190,,,2020-12-08,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in coders/txt.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned long long`. This would most likely lead to an impact to application availability,,,,
94,CVE-2020-27757,190,,,2020-12-08,2021-06-02,4.3,None,Remote,Medium,Not required,None,None,Partial,A floating point math calculation in ScaleAnyToQuantum() of /MagickCore/quantum-private.h could lead to undefined behavior in the form of a value outside the range of type unsigned long long. The flaw could be triggered by a crafted input file under certain conditions when it is processed by ImageMagick. Red Hat Product Security marked this as Low because although it could potentially lead to an impact to application availability,,,,
95,CVE-2020-27754,190,,Overflow,2020-12-08,2021-03-25,4.3,None,Remote,Medium,Not required,None,None,Partial,In IntensityCompare() of /magick/quantize.c,,,,
96,CVE-2020-27751,190,,,2020-12-08,2021-06-03,4.3,None,Remote,Medium,Not required,None,None,Partial,A flaw was found in ImageMagick in MagickCore/quantum-export.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned long long` as well as a shift exponent that is too large for 64-bit type. This would most likely lead to an impact to application availability,,,,
