ParentId,PostType,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
1153,1,2012-07-19T07:44:54.103,14,9978,85,,2015-08-01T15:04:35.750,2015-08-01T15:04:35.750,1,,"<p>I'm trying to generate a clean 11.289&nbsp;MHz clock signal from the general-purpose clock, GPCLK0 on GPIO4. The suggested route is to use the 19.2&nbsp;MHz crystal as the source, which seems to work for lower frequencies, but no matter what I try it defaults to 2.5&nbsp;kHz. Reading the documentation, it seems to imply that the PLL sources should be used.</p>

<p>What further information is there on what the mentioned sources are? Particularly:</p>

<ul>
<li>4 = PLLA per</li>
<li>5 = PLLC per</li>
<li>6 = PLLD per</li>
</ul>

<p>See page 107 - Clock Control Register of the BCM2835 Peripheral Documentation.</p>
"
1170,1,2012-07-19T22:15:46.820,4,2201,721,,2017-02-18T05:47:57.437,,0,,"<p>I have a basic understanding of the GPIO on the RPi. I want to adapt some of my previous software which interfaced my project board via the Parallel port via direct output to the PP address (0x378) using Outb in C. Can I directly access the GPIO using Outb in C (ofc with a different port address).</p>
"
1179,1,2012-07-20T14:19:40.153,68,114369,314,,2020-12-20T13:09:09.827,,0,,"<p><a href=""http://www.raspbian.org/"">Raspbian</a> claims to have ""35,0000 Raspbian packages"", which is great, but I'm only looking for a package or two before I install it.  </p>

<p>Is there a browsable repository package list that I can search with a web browser without being on the device itself?</p>

<p>If there isn't a browser-friendly method, is there a way to download the package lists and browse through some other method?</p>
"
1207,1,2012-07-22T21:54:27.800,45,23463,590,,2016-12-17T18:22:10.133,2017-04-13T12:56:26.700,1,,"<p>What can I connect to the RPi to measure temperature? I think devices connected to the <a href=""http://en.wikipedia.org/wiki/I%C2%B2C"" rel=""nofollow noreferrer"">I²C</a> or <a href=""http://en.wikipedia.org/wiki/Serial_Peripheral_Interface_Bus"" rel=""nofollow noreferrer"">SPI</a> would make most sense.</p>

<p><a href=""https://raspberrypi.stackexchange.com/questions/1087/can-i-use-a-dht22-as-a-temperature-sensor-for-my-pi"">Here is a question</a> about <a href=""http://adafruit.com/products/385"" rel=""nofollow noreferrer"">DHT-22</a> and other <a href=""http://en.wikipedia.org/wiki/1-Wire"" rel=""nofollow noreferrer"">1-wire</a> devices. But at this stage it seems that 1-wire is difficult on the RPi due to the critical timings </p>
"
1244,1,2012-07-24T13:17:55.427,18,66012,65,,2013-06-11T21:33:37.347,,2,,"<p>I've been reading around, and looking for instructions to install the Edimax EW-7811UN WiFi dongle (link) on my Raspberry Pi, which is currently running RC3 of Raspbmc.</p>

<p>From what I've read, the dongle seems to be compatible, all well and good. However, I can't find any solid (or working) instructions for making it play ball. Does anyone here know how I install it on a Debian based system (Raspbmc)?</p>

<p>I have tried <a href=""http://wiki.debian.org/rtl819x"">http://wiki.debian.org/rtl819x</a> but I don't seem to have an Aptitude command (and I don't know how to install one). </p>

<p>Thanks!</p>
"
1270,1,2012-07-25T16:18:16.267,9,12404,797,,2017-08-12T12:08:06.490,2012-07-25T19:55:53.267,2,,"<p>I'd like to use the Raspberry Pi as a small server. My Linksys WRT610N router has a rear USB port and I'd like to use it to supply power to the Raspi. That way, the Raspi doesn't need to have a dedicated power supply!</p>

<p>Only two wires will be connected to the Raspi:</p>

<ul>
<li>an Ethernet wire,</li>
<li>the USB power supply wire connected to the router's USB port.</li>
</ul>

<p>Will the router's USB port be enough to supply power to the Rasperry Pi?</p>

<p>Thank you!</p>
"
1284,1,2012-07-26T00:22:12.423,17,4361,595,,2016-12-14T01:47:01.410,2016-12-14T01:47:01.410,1,,"<p>I am getting mine this week (or so I am told) and I am nervous about breaking it on the move since it looks so open and bare. </p>

<p>How do you bring it around without breaking it? </p>

<hr>

<p>It has arrived. The packet says: </p>

<blockquote>
  <p>This product should be placed on a stable, flat, non-conductive
  surface in use and should not be contacted by conductive items.</p>
</blockquote>

<p>Translation:</p>

<blockquote>
  <p>This product should be put on the table, but don't drop your change
  on it.</p>
</blockquote>
"
1312,1,2012-07-27T18:57:10.910,24,9015,769,,2019-09-01T00:30:02.843,2017-04-13T12:56:25.647,5,,"<p>In a comment to <a href=""https://raspberrypi.stackexchange.com/q/213/141"">another question about Windows</a>, somebody brought up a good point, Raspberry Pis have the horsepower to run older games.  It just so happens that I have a favorite older game from the win95 era that I'd like to give a go but the typical desktop hardware these days is just too advanced.</p>

<p>This might be a bit ingenuous, but we can <a href=""https://raspberrypi.stackexchange.com/questions/344/emulation-on-a-windows-pc"">emulate ARM systems on x86</a> so is it possible to emulate x86 on ARM processors?  If the Raspberry Pi can emulate an x86 machine would there be any other complications to installing Windows 95?</p>
"
1346,1,2012-07-30T11:49:49.587,26,44299,296,,2019-10-11T09:07:56.520,,1,,"<p>I've got Lighttpd setup on my Raspberry Pi, but I'd like to get server-side code working now. I'm familiar with PHP, but I figure I should try Python as it's supposed to be the ""go to"" language for the Raspberry Pi. How can I get Python handling server-side code via Lighttpd?</p>
"
1417,1,2012-08-02T19:04:50.273,14,6045,296,,2017-03-10T19:36:05.987,2017-04-13T12:56:22.977,8,,"<p>I've recently setup python to work with lighttpd via CGI (see <a href=""https://raspberrypi.stackexchange.com/questions/1346/how-to-get-python-to-work-with-lighttpd"">here</a>). But the minute I go to include <a href=""http://pypi.python.org/pypi/RPi.GPIO/0.3.1a"" rel=""nofollow noreferrer"">RPi.GPIO</a>, the script stops executing (I'm assuming because no HTML gets output), but there is no error output into the error log (<code>/var/log/lighttpd/error.log</code>).</p>

<p><strong>gpio.py</strong></p>

<pre><code>import RPi.GPIO as GPIO

print ""&lt;html&gt;""
print ""\t&lt;head&gt;""
print ""\t\t&lt;title&gt;GPIO&lt;/title&gt;""
print ""\t&lt;/head&gt;""
print ""\t&lt;body&gt;""
print ""\t\t&lt;p&gt;""
print ""\t\t\tGPIO #17 status: ""
print ""\t\t&lt;/p&gt;""
print ""\t&lt;/body&gt;""
print ""&lt;/html&gt;""
</code></pre>

<p>Why is the script not executing? Is it because of permissions? Surely, including the library shouldn't require any special permissions? Why isn't there any error output either in the script or in the error log?</p>
"
1484,1,2012-08-07T20:52:21.993,23,14677,203,,2013-05-10T11:02:11.007,2012-08-07T22:57:06.790,4,,"<p>I'm building an image with a Nagios server. One of the problems of the raspberry pi is that the memory is quite small on the raspberry pi. So I'll be using a light weight interface based on php-apc instead of the standard one. </p>

<p>I was wondering what lightweight webserver is recommended to use? </p>

<p>I was considering a minimum webserver that can do php and provide SSL. I was thinking of Apache2 or Nginx. Although I think Apache will still outperform Nginx since the content is dynamic.</p>
"
1552,1,2012-08-11T22:38:11.670,24,27596,60,,2015-07-21T17:21:58.803,2015-07-21T12:39:30.517,4,,"<p>It would be interesting to use the Raspberry Pi as a replacement for a media center; however, as I see it now the Raspberry Pi needs to be controlled by means of a keyboard or over the network. Is it possible to control the Raspberry Pi using an universal remote control or something similar?</p>

<p>I'm planning to use the Raspberry Pi where carrying or connecting a keyboard is not feasible.</p>
"
1601,1,2012-08-14T16:43:03.193,20,15936,711,,2014-11-27T05:51:18.077,2014-11-26T18:30:03.433,8,,"<p>How is time kept on a Raspberry Pi with the latest Raspbian release? What sets the internal clock from an NTP server? What happens when no NTP server is available?</p>

<p>From my program I am trying to determine if the time has been set from NTP and ask the user to set it if it has not.</p>
"
1621,1,2012-08-16T11:10:06.390,6,12615,1160,,2016-05-11T07:27:04.853,2016-05-11T07:27:04.853,1,,"<p>I installed VLC, but I can't hear anything through the analog output (jack output) when I play a MP3 file or a video.</p>

<p>I'm using Debian Wheezy.</p>

<p>I already did some steps to test alsa sound, like this:</p>

<pre><code>sudo aplay /usr/share/sounds/alsa/Front_Center.wav
</code></pre>

<p>But that only plays from command-line, (before running X).</p>
"
1945,1,2012-09-20T12:06:08.400,3,1220,1431,,2013-08-08T09:33:12.787,,1,,"<p>Is it possible to upgrade occidentalis 0.2 with the latest <a href=""http://www.raspberrypi.org/archives/2008"" rel=""nofollow"">wheezy upgrades</a> to improve the distro performance with <code>sudo apt-get update &amp;&amp; sudo apt-get upgrade</code>. Or can't I get the improvments if I don't have the ""standard"" debian distro?</p>

<p>Kind Regards</p>
"
2086,1,2012-10-04T19:00:32.150,79,126947,86,,2021-02-14T08:14:52.880,,3,,"<p>Where can I find the serial number of the Raspberry Pi I am currently using?</p>
"
2169,1,2012-10-11T13:55:19.573,102,222453,1817,,2019-02-07T19:52:44.133,2012-10-11T15:54:03.617,3,,"<p>I have a Raspberry Pi running <strong>Raspbmc</strong> connected through <strong>HDMI</strong> to a dumb HDTV. (Does not support HDMI-CEC).</p>

<p>If I power on both the TV (both at source and display through remote) and Raspbmc at the same time then it all works fine.</p>

<p>If I power on the Raspbmc and TV, but the TV display is not turned on. Sometime later I use the TV remote to power on the TV display, then I get a <strong>blank display</strong> on TV through HDMI. This is not the screensaver because using a XBMC remote does not change anything. The Raspbmc is active though, because I can <strong>ping</strong> it and connect to it using <strong>SSH</strong>.</p>

<p>Is there a setting in Raspbmc I can change so that it <strong>always turns on HDMI</strong>, no matter if the TV display is on or off?</p>
"
3289,1,2012-10-22T16:25:37.433,7,85338,1765,,2021-01-03T22:52:07.230,2012-10-22T20:02:57.293,2,,"<p>I've tried running running a disk check, then I got a complain</p>

<pre><code>pi@raspberrypi ~ $ /sbin/fsck
fsck from util-linux 2.20.1
e2fsck 1.42.5 (29-Jul-2012)
/dev/mmcblk0p2 is mounted.

WARNING!!!  The filesystem is mounted.   If you continue you ***WILL***
cause ***SEVERE*** filesystem damage.

Do you really want to continue&lt;n&gt;? no
check aborted.
pi@raspberrypi ~ $ umount -l /dev/mmcblk0p2
umount: it seems /dev/mmcblk0p2 is mounted multiple times
</code></pre>

<p><strong>Do I have to umount, what are the steps for a safe umount?</strong> </p>

<p>Update:</p>

<pre><code>pi@raspberrypi ~ $ mount
/dev/root on / type ext4 (rw,noatime,nodiratime,user_xattr,barrier=1,data=ordered)
devtmpfs on /dev type devtmpfs (rw,relatime,size=118872k,nr_inodes=29718,mode=755)
tmpfs on /run type tmpfs (rw,nosuid,noexec,relatime,size=23788k,mode=755)
tmpfs on /run/lock type tmpfs (rw,nosuid,nodev,noexec,relatime,size=5120k)
proc on /proc type proc (rw,nosuid,nodev,noexec,relatime)
sysfs on /sys type sysfs (rw,nosuid,nodev,noexec,relatime)
tmpfs on /run/shm type tmpfs (rw,nosuid,nodev,noexec,relatime,size=47560k)
devpts on /dev/pts type devpts (rw,nosuid,noexec,relatime,gid=5,mode=620)
/dev/mmcblk0p1 on /boot type vfat (rw,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=ascii,shortname=mixed,errors=remount-ro)

pi@raspberrypi ~ $ cat /etc/mtab
rootfs / rootfs rw 0 0
/dev/root / ext4 rw,noatime,nodiratime,user_xattr,barrier=1,data=ordered 0 0
devtmpfs /dev devtmpfs rw,relatime,size=118872k,nr_inodes=29718,mode=755 0 0
tmpfs /run tmpfs rw,nosuid,noexec,relatime,size=23788k,mode=755 0 0
tmpfs /run/lock tmpfs rw,nosuid,nodev,noexec,relatime,size=5120k 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /run/shm tmpfs rw,nosuid,nodev,noexec,relatime,size=47560k 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620 0 0
/dev/mmcblk0p1 /boot vfat rw,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=ascii,shortname=mixed,errors=remount-ro 0 0

pi@raspberrypi ~ $ cat /etc/fstab
proc            /proc           proc    defaults          0       0
/dev/mmcblk0p1  /boot           vfat    defaults          0       2
/dev/mmcblk0p2  /               ext4    defaults,noatime,nodiratime,nodiratime  0       1
# a swapfile is not a swap partition, so no using swapon|off from here on, use  dphys-swapfile swap[on|off]  for that
</code></pre>

<p>I also see this in dmesg:</p>

<pre><code>[    3.054577] smsc95xx 1-1.1:1.0: eth0: register 'smsc95xx' at usb-bcm2708_usb-1.1, smsc95xx USB 2.0 Ethernet, b8:27:eb:3a:ff:c1
[    4.592609] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 47900
[    4.611794] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 31567
[    4.630805] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 23732
[    4.647041] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 4871
[    4.662074] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 4653
[    4.662256] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 4514
[    4.662344] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 4465
[    4.677977] EXT4-fs (mmcblk0p2): ext4_orphan_cleanup: deleting unreferenced inode 3989
[    4.678142] EXT4-fs (mmcblk0p2): 8 orphan inodes deleted
[    4.685881] EXT4-fs (mmcblk0p2): recovery complete
[    8.631347] EXT4-fs (mmcblk0p2): mounted filesystem with ordered data mode. Opts: (null)
[    8.644244] VFS: Mounted root (ext4 filesystem) on device 179:2.
[    8.654677] devtmpfs: mounted
[    8.661103] Freeing init memory: 124K
[   10.414514] udevd[139]: starting version 175
[   21.263308] EXT4-fs (mmcblk0p2): re-mounted. Opts: (null)
[   21.967590] EXT4-fs (mmcblk0p2): re-mounted. Opts: (null)
[   22.849536] bcm2835 ALSA card created!
[   22.855703] bcm2835 ALSA chip created!
[   22.875121] bcm2835 ALSA chip created!
[   22.885884] bcm2835 ALSA chip created!
[   22.894074] bcm2835 ALSA chip created!
[   22.902271] bcm2835 ALSA chip created!
[   22.910319] bcm2835 ALSA chip created!
[   22.918129] bcm2835 ALSA chip created!
</code></pre>
"
3338,1,2012-10-25T04:59:53.357,1,6674,1732,,2012-10-26T18:42:57.237,2012-10-26T18:42:57.237,4,,"<p><code>sudo apt-get update</code> hangs and suggests running <code>sudo apt-get -f install</code>, but that fails on a duplicate declaration. How can I fix this? </p>

<pre><code>The following NEW packages will be installed:
libfont-afm-perl liblcms2-2
0 updgaded, 2 newly installed, 0 to remove and 10 not upgraded.
Need to get 0 B// 135 kB of archives.
After this operation, 396 kB of additional disk space will be used.
Do you want to continue [Y/n]? y
dpkg: error: parsing file '/var/lib/dpkg/status near line 5174 package 'liburi-perl': duplicate value for 'Installed-Size' field
E: Sub-process /usr/bin/dpkg returned an error code (2)
</code></pre>

<p>Here is the file from vi:</p>

<pre><code>Priority: optional
Section: perl
Installed-Size: 226
Maintainer: Debian Perl Group &lt;pkg-perl-maintainers@lists.alioth.debian.org&gt;
Architecture: all
Version: 1.60-1
Depends: perl, libmime-base64-perl, libnet-perl
Suggests: libwww-perl
Description: module to manipulate and access URI strings
 URI is a collection of Perl modules that represent and manipulate Uniform
 Resource Identifier (URI) references as specified in RFC 2396.
 .
 URI objects can be used to access and manipulate the various components
 that make up these strings.  There are also methods to combine URIs in
 various ways.
 .
 The URI class replaces the URI::URL class that used to be distributed with
 libwww-perl. This package al: perl
Installed-Size: 120
Maintainer: Debian Perl Group &lt;pkg-perl-maintainers@lists.alioth.debian.org&gt;
Architecture: all
Version: 1.20-1
Depends: perl (&gt;= 5.6.0-16)
</code></pre>

<p>here is the new output from <code>sudo apt-get -f install</code>:</p>

<pre><code>Reading package lists... Done
Building dependency tree       
Reading state information... Done
Correcting dependencies... Done
The following extra packages will be installed:
  mime-support
The following NEW packages will be installed:
  mime-support
0 upgraded, 1 newly installed, 0 to remove and 9 not upgraded.
21 not fully installed or removed.
Need to get 35.5 kB of archives.
After this operation, 197 kB of additional disk space will be used.
Do you want to continue [Y/n]? y
Get:1 http://mirrordirector.raspbian.org/raspbian/ wheezy/main mime-support all 3.52-1 [35.5 kB]
Fetched 35.5 kB in 1s (34.3 kB/s) 
dpkg: warning: parsing file '/var/lib/dpkg/status' near line 13018 package 'zenity':
 missing description
dpkg: warning: parsing file '/var/lib/dpkg/status' near line 13018 package 'zenity':
 missing maintainer
dpkg: error: parsing file '/var/lib/dpkg/status' near line 13018 package 'zenity':
 missing version
E: Sub-process /usr/bin/dpkg returned an error code (2)
</code></pre>
"
3469,1,2012-11-03T08:28:27.047,10,14475,437,,2019-06-25T21:16:42.483,2019-06-25T21:16:42.483,0,,"<p>I want to use the altenate function of GPIO 4 namely the GPCLK0 function. 
How can one set a GPIO to its alternate function? Many alternate functions are summarized here: <a href=""http://elinux.org/RPi_Low-level_peripherals"">elinux-wiki</a></p>

<p>The best would be if it is possible with the <a href=""https://projects.drogon.net/raspberry-pi/wiringpi/"">wiringPi Library</a>. But i do not mind to use arbitrary C-code if someone tells me how to do it.
After entering an alternative function, i think it is needed to configure it?</p>
"
3475,1,2012-11-04T11:54:17.297,34,56827,3109,,2020-12-21T04:16:10.567,,1,,"<p>Ok, I have one uart interface (TXD GPIO 14, RXD GPIO 15). I want at least one more uart interface.</p>

<p>Possible solutions:</p>

<ul>
<li><p>Bit banging:
Use two unrelated spare GPIOs. I understand that timing is a problem on a standard linux. Would it be reliable with very low baudrate?</p></li>
<li><p>Switching:
RPI decides when to talk to which device. Using e.g. <a href=""http://www.fairchildsemi.com/ds/CD/CD4066BC.pdf"">CD4066BC</a>.</p></li>
<li><p>spi to 2 x uart bridge:
Didn't find a suitable part (availability, price, dil package)</p></li>
<li><p>usb to uart:
Expensive</p></li>
</ul>

<p>Are there other options? I'm inclined to switching, if it can be done. What would you advise?</p>
"
3627,1,2012-11-18T14:20:32.330,13,25170,1677,,2016-03-24T02:33:51.270,2015-05-30T20:51:13.880,2,,"<p>Is there a simple library to talk to I2C for C++? I have found some stuff for python and Java, but I wanted C++. I was hoping someone has ported the Arduino Wire library so I could use code I have already written for the Arduino. </p>
"
3802,1,2012-12-01T15:15:12.780,4,14638,3389,,2019-04-14T06:18:47.467,,1,,"<p>I was thinking it would be cool to have my Raspberry Pi (RPi) monitor how long a computer/mobile device is connected to the network. This would be useful to figure out how many hours I spend on the internet, when at home (do I really want to know? :P).</p>

<p>I was thinking the RPi could some how talk to router and make a log of when a device of a particular MAC address is connected.</p>

<p>Could anybody point me in the right direction?</p>
"
3881,1,2012-12-06T22:55:41.447,1,1782,894,,2012-12-07T09:21:15.330,2012-12-07T09:21:15.330,0,,"<p>I would like to run a programme or script that I wrote on start-up of the Pi - on a separate thread(process) / background.</p>

<p>I would love to do this with MONO application but any other examples would be great too.</p>

<p>Basically all I need it to do is dump UART data into a file.</p>
"
3898,1,2012-12-08T14:14:31.927,4,6029,3665,,2015-11-14T01:40:15.043,,0,,"<p>I trying to toggle one of my GPIO pins at a specific frequency, at the kHz range.</p>

<p>I set up the wiringPi Library, the blinking example seems to work just fine.So I modified the code, so it will oscillat at 35 Khz, but the output frequency is about 5.5 kHz. However when I ran the code with no delay at all the output frequency was 0.5 Mhz. Note that I don't output anything to the screen.</p>

<p>I guess that that this related to the definition of sleeping function ""suspends the execution of the calling thread"", so returning the thread to the foreground might take some time.</p>

<p><strong>How can I define the precise sleeping time?</strong></p>

<ul>
<li>I tired to use usleep as well an nanosleep, but same problem.</li>
<li>All the above was done done via an SSH, as I mentioned, no output was sent during execution</li>
<li>The pi is running an Apache server, but I guess it doesn't have a big affect on it </li>
</ul>

<p>Here is the code I used</p>

<pre><code>#include &lt;wiringPi.h&gt;
#include &lt;stdio.h&gt;
#include &lt;time.h&gt;

int main (void){
  int pin = 7;

  struct timespec time;
  time.tv_sec = 0;
  time.tv_nsec = 14000L;

  if (wiringPiSetup() == -1)
    exit (1);

  pinMode(pin, OUTPUT);

  while(1){
    digitalWrite(pin, 1);
    nanosleep(&amp;time,&amp;time);
    digitalWrite(pin, 0);
    nanosleep(&amp;time,&amp;time);
  }

  return 0;
}
</code></pre>
"
4112,1,2012-12-25T10:44:52.020,1,3732,3969,,2020-10-15T19:09:20.820,2012-12-25T10:52:15.537,3,,"<p>I'm using Raspbian.</p>

<p>Every time I turn RPi on, the network monitor icon in bottom right corner says, that wlan0 has no connection at all or the connection is limited. wpa_gui gives error <i>Could not get status from wpa_suplicant</i>.</p>

<p>These are the config files:</p>

<p>/etc/network/interfaces</p>

<pre><code>auto lo
iface lo inet loopback
allow-hotplug eth0
iface eth0 inet static
  address 192.168.1.111
  netmask 255.255.255.0
  network 192.168.0.0
  broadcast 192.168.1.255
  gateway 192.168.1.1
allow-hotplug wlan0
iface wlan0 inet manual
  wpa-roam /etc/wpa_supplicant/wpa_supplicant.conf
iface default inet dhcp
iface home inet static
  address 192.168.1.110
  netmask 255.255.255.0
  network 192.168.0.0
  broadcast 192.168.1.255
  gateway 192.168.1.1
iface stalk inet dhcp
</code></pre>

<p>/etc/wpa_suplicant/wpa_suplicant.conf (also /etc/wpa.config is a link to this one)</p>

<pre><code>ctrl_interface=DIR=/var/run/wpa_supplicant GROUP=netdev
update_config=1

network={
    ssid=""my_ssid""
    psk=""my_pass""
    proto=RSN
    key_mgmt=WPA-PSK
    pairwise=TKIP
    auth_alg=OPEN
    id_str=""home""
    priority=15
}

network={
    ssid=""""
    psk=""""
    key_mgmt=NONE
    auth_alg=OPEN
    priority=1
    disabled=1
    id_str=""stalk""
}
</code></pre>

<p>FYI: my network is using only static IP and WPA2. The ethernet connection works without problems. The wifi adapter (Modecom mc-un11c) is connected to powered USB hub.</p>

<p>To configure the files I used <a href=""http://manual.siduction.org/en/inet-setup-en.htm#net-set3"" rel=""nofollow"">this manual</a>.</p>

<p>What is wrong, why does the wifi connection not work?</p>
"
4120,1,2012-12-26T11:29:25.747,79,148649,3053,,2021-02-27T11:37:22.993,,0,,"<p>I'm using my pi to monitor my power meters. Data is transferred to PC by WiFi connection using Edimax EW-7811UN USB adapter. When the Wifi connection drops (switched off over night, or shaky connection), the USB adapter remains disabled.</p>

<p>Is there a way to restart the WiFi connection automatically without re-plugging the WiFi adapter?</p>
"
4356,1,2013-01-07T02:52:52.333,26,161673,561,,2020-01-21T18:07:44.117,,4,,"<p>I am trying to figure out a good split for the CPU/GPU.  Is there a way to monitor the CPU and GPU usage to see where I should make the split?</p>
"
4385,1,2013-01-08T06:38:40.540,19,11543,4298,,2016-12-21T22:14:31.993,2013-01-08T19:14:41.830,10,,"<p>On the <a href=""http://www.raspberrypi.org/phpBB3/viewtopic.php?f=29&amp;t=28304&amp;p=252357#p251536"">official raspberrypi.org forum</a>, ""Dom"" - a moderator wrote:</p>

<blockquote>
  <p>I've fudged my board to have your serial number</p>
</blockquote>

<p>How do I edit the serial number of a Raspberry Pi?</p>
"
